locator	band	domain	subdomain	task_L3	current_disposition	recommendation	merged_with	roadmap_wave	knowledge_pack	rationale	class	coverage_via	box_trigger	box_input	box_output	box_refuses	four_box_status
C/13/13.1/Privacy in PK and pharmacogenomic datasets	C	Participant protection and ethics	Consent and privacy	Privacy in PK and pharmacogenomic datasets	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Privacy in PK and pharmacogenomic datasets and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Privacy in PK and pharmacogenomic datasets	Source-linked finding register with denominators	Decide the outcome of Privacy in PK and pharmacogenomic datasets; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/13/13.2/Vulnerable-population protection	C	Participant protection and ethics	Participant safety	Vulnerable-population protection	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Vulnerable-population protection and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Vulnerable-population protection	Source-linked finding register with denominators	Decide the outcome of Vulnerable-population protection; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/13/13.2/Sentinel dosing and subject-safety design	C	Participant protection and ethics	Participant safety	Sentinel dosing and subject-safety design	gap	OWN-SKILL (new; loads module)	NONE	Next	shared/modules/first-in-human.md	Own skill for this L3; keep module/tool as knowledge: shared/modules/first-in-human.md	skill	self	Please review the materials for Sentinel dosing and subject-safety design and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Sentinel dosing and subject-safety design	Source-linked finding register with denominators	Decide the outcome of Sentinel dosing and subject-safety design; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/13/13.3/Ethics-committee interaction on CP content	C	Participant protection and ethics	Oversight	Ethics-committee interaction on CP content	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Ethics-committee interaction on CP content and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Ethics-committee interaction on CP content	Source-linked finding register with denominators	Decide the outcome of Ethics-committee interaction on CP content; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/14/14.1/HTA and payer exposure evidence	C	Access and value	Payer evidence	HTA and payer exposure evidence	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for HTA and payer exposure evidence and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for HTA and payer exposure evidence	Source-linked finding register with denominators	Decide the outcome of HTA and payer exposure evidence; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/14/14.1/Dose optimisation for cost and access	C	Access and value	Payer evidence	Dose optimisation for cost and access	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Dose optimisation for cost and access and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Dose optimisation for cost and access	Source-linked finding register with denominators	Decide the outcome of Dose optimisation for cost and access; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/14/14.2/Label differentiation	C	Access and value	Competitive position	Label differentiation	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Label differentiation and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Label differentiation	Source-linked finding register with denominators	Decide the outcome of Label differentiation; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/14/14.2/Biosimilar and generic defence	C	Access and value	Competitive position	Biosimilar and generic defence	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Biosimilar and generic defence and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Biosimilar and generic defence	Source-linked finding register with denominators	Decide the outcome of Biosimilar and generic defence; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/14/14.3/LMIC dosing and access considerations	C	Access and value	Global access	LMIC dosing and access considerations	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for LMIC dosing and access considerations and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for LMIC dosing and access considerations	Source-linked finding register with denominators	Decide the outcome of LMIC dosing and access considerations; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/15/15.1/Decision packages and go/no-go input	C	Function leadership and operations	Governance	Decision packages and go/no-go input	gap	OWN-SKILL (new; was oos)	NONE	Next		In product; build Next/Later	skill	self	Please review the materials for Decision packages and go/no-go input and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Decision packages and go/no-go input	Source-linked finding register with denominators	Decide the outcome of Decision packages and go/no-go input; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/15/15.1/Cross-functional representation	C	Function leadership and operations	Governance	Cross-functional representation	gap	OWN-SKILL (refuse-boundary)	NONE	Next		Own skill; prepare only — refuse decide/sign/negotiate	boundary	BOUNDARY - The deliverable is a person in a room; there is no artifact for a skill to produce	outside the product domain	no CP evidence pack	no CP artifact	entire task is human	RECORDED
C/15/15.1/Portfolio review and timeline commitments	C	Function leadership and operations	Governance	Portfolio review and timeline commitments	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Portfolio review and timeline commitments and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Portfolio review and timeline commitments	Source-linked finding register with denominators	Decide the outcome of Portfolio review and timeline commitments; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/15/15.1/Safety and escalation committee documentation	C	Function leadership and operations	Governance	Safety and escalation committee documentation	skill	OWN-SKILL (exists)	NONE	Now		Package present: review-study-conduct-pk. Keep; narrow/split if fat.	skill	self					PENDING-AUTHORING
C/15/15.2/CRO and vendor qualification and oversight	C	Function leadership and operations	External partners	CRO and vendor qualification and oversight	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for CRO and vendor qualification and oversight and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for CRO and vendor qualification and oversight	Source-linked finding register with denominators	Decide the outcome of CRO and vendor qualification and oversight; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/15/15.2/Outsourcing scope, budget and deliverables	C	Function leadership and operations	External partners	Outsourcing scope, budget and deliverables	gap	OWN-SKILL (new; was oos)	NONE	Next		In product; build Next/Later	skill	self	Please review the materials for Outsourcing scope, budget and deliverables and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Outsourcing scope, budget and deliverables	Source-linked finding register with denominators	Decide the outcome of Outsourcing scope, budget and deliverables; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/15/15.3/SOPs, templates and knowledge assets	C	Function leadership and operations	Quality system	SOPs, templates and knowledge assets	skill	OWN-SKILL (exists)	NONE	Now		Package present: build-work-context. Keep; narrow/split if fat.	skill	self	Please curate the materials for SOPs, templates and knowledge assets and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for SOPs, templates and knowledge assets	Source-linked finding register with denominators	Decide the outcome of SOPs, templates and knowledge assets; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/15/15.3/Inspection readiness and data integrity	C	Function leadership and operations	Quality system	Inspection readiness and data integrity	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Inspection readiness and data integrity and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Inspection readiness and data integrity	Source-linked finding register with denominators	Decide the outcome of Inspection readiness and data integrity; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/15/15.4/Hiring, mentoring and capability building	C	Function leadership and operations	People	Hiring, mentoring and capability building	gap	OWN-SKILL (refuse-boundary)	NONE	Next		Own skill; prepare only — refuse decide/sign/negotiate	boundary	BOUNDARY - People management, not clinical-pharmacology work product; no evidence pack to prepare	outside the product domain	no CP evidence pack	no CP artifact	entire task is human	RECORDED
C/15/15.5/Publications and congress presentations	C	Function leadership and operations	Scientific standing	Publications and congress presentations	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Publications and congress presentations and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Publications and congress presentations	Source-linked finding register with denominators	Decide the outcome of Publications and congress presentations; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/15/15.5/External scientific engagement	C	Function leadership and operations	Scientific standing	External scientific engagement	gap	OWN-SKILL (new; was oos)	NONE	Next		In product; build Next/Later	skill	self	Please review the materials for External scientific engagement and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for External scientific engagement	Source-linked finding register with denominators	Decide the outcome of External scientific engagement; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/15/15.5/Applied regulatory science contribution	C	Function leadership and operations	Scientific standing	Applied regulatory science contribution	gap	OWN-SKILL (new)	NONE	Next		Default L3 = own skill	skill	self	Please review the materials for Applied regulatory science contribution and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for Applied regulatory science contribution	Source-linked finding register with denominators	Decide the outcome of Applied regulatory science contribution; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
C/15/15.6/AI/ML workflow automation	C	Function leadership and operations	Modernisation	AI/ML workflow automation	gap	OWN-SKILL (new; was oos)	NONE	Later		In product; build Next/Later	skill	self	Please review the materials for AI/ML workflow automation and produce a sourced finding register — do not decide the clinical or regulatory outcome.	Primary package for AI/ML workflow automation	Source-linked finding register with denominators	Decide the outcome of AI/ML workflow automation; approve or submit related documents; select or adjust a dose; speak for the sponsor to an agency	RECORDED
